# x1	y1	P/MPa
0.59000000	0.99999977	0.40385725
0.59333333	0.99999977	0.40773445
0.59666667	0.99999978	0.41162101
0.60000000	0.99999978	0.41551648
0.60333333	0.99999979	0.41942045
0.60666667	0.99999979	0.42333248
0.61000000	0.99999980	0.42725213
0.61333333	0.99999980	0.43117894
0.61666667	0.99999981	0.43511248
0.62000000	0.99999981	0.43905227
0.62333333	0.99999982	0.44299784
0.62666667	0.99999982	0.44694873
0.63000000	0.99999982	0.45090444
0.63333333	0.99999983	0.45486449
0.63666667	0.99999983	0.45882839
0.64000000	0.99999984	0.46279563
0.64333333	0.99999984	0.46676570
0.64666667	0.99999985	0.47073810
0.65000000	0.99999985	0.47471230
0.65333333	0.99999985	0.47868778
0.65666667	0.99999985	0.48266400
0.66000000	0.99999986	0.48664043
0.66333333	0.99999986	0.49061652
0.66666667	0.99999987	0.49459173
0.67000000	0.99999987	0.49856550
0.67333333	0.99999987	0.50253727
0.67666667	0.99999987	0.50650648
0.68000000	0.99999988	0.51047255
0.68333333	0.99999988	0.51443490
0.68666667	0.99999988	0.51839297
0.69000000	0.99999989	0.52234616
0.69333333	0.99999989	0.52629388
0.69666667	0.99999989	0.53023555
0.70000000	0.99999989	0.53417055
0.70333333	0.99999990	0.53809828
0.70666667	0.99999990	0.54201814
0.71000000	0.99999990	0.54592952
0.71333333	0.99999990	0.54983180
0.71666667	0.99999991	0.55372436
0.72000000	0.99999991	0.55760657
0.72333333	0.99999991	0.56147781
0.72666667	0.99999991	0.56533745
0.73000000	0.99999992	0.56918485
0.73333333	0.99999992	0.57301938
0.73666667	0.99999992	0.57684039
0.74000000	0.99999992	0.58064725
0.74333333	0.99999992	0.58443930
0.74666667	0.99999993	0.58821591
0.75000000	0.99999993	0.59197641
0.75333333	0.99999993	0.59572015
0.75666667	0.99999993	0.59944648
0.76000000	0.99999993	0.60315474
0.76333333	0.99999993	0.60684428
0.76666667	0.99999994	0.61051443
0.77000000	0.99999994	0.61416452
0.77333333	0.99999994	0.61779390
0.77666667	0.99999994	0.62140189
0.78000000	0.99999994	0.62498784
0.78333333	0.99999994	0.62855107
0.78666667	0.99999995	0.63209092
0.79000000	0.99999995	0.63560671
0.79333333	0.99999995	0.63909778
0.79666667	0.99999995	0.64256347
0.80000000	0.99999995	0.64600309
0.80333333	0.99999995	0.64941598
0.80666667	0.99999995	0.65280146
0.81000000	0.99999996	0.65615888
0.81333333	0.99999996	0.65948757
0.81666667	0.99999996	0.66278684
0.82000000	0.99999996	0.66605605
0.82333333	0.99999996	0.66929451
0.82666667	0.99999996	0.67250157
0.83000000	0.99999996	0.67567657
0.83333333	0.99999996	0.67881884
0.83666667	0.99999996	0.68192773
0.84000000	0.99999996	0.68500257
0.84333333	0.99999996	0.68804272
0.84666667	0.99999997	0.69104752
0.85000000	0.99999997	0.69401632
0.85333333	0.99999997	0.69694848
0.85666667	0.99999997	0.69984335
0.86000000	0.99999997	0.70270030
0.86333333	0.99999997	0.70551868
0.86666667	0.99999997	0.70829788
0.87000000	0.99999997	0.71103727
0.87333333	0.99999997	0.71373622
0.87666667	0.99999997	0.71639412
0.88000000	0.99999998	0.71901036
0.88333333	0.99999998	0.72158435
0.88666667	0.99999998	0.72411549
