# x1	y1	P/MPa
0.00000000	0.00000000	0.00002692
0.00333333	0.99206189	0.00337939
0.00666667	0.99603490	0.00674283
0.01000000	0.99736631	0.01011729
0.01333333	0.99803334	0.01350286
0.01666667	0.99843398	0.01689960
0.02000000	0.99870125	0.02030758
0.02333333	0.99889224	0.02372688
0.02666667	0.99903552	0.02715758
0.03000000	0.99914699	0.03059974
0.03333333	0.99923618	0.03405344
0.03666667	0.99930916	0.03751875
0.04000000	0.99936999	0.04099576
0.04333333	0.99942146	0.04448454
0.04666667	0.99946557	0.04798516
0.05000000	0.99950381	0.05149770
0.05333333	0.99953727	0.05502224
0.05666667	0.99956679	0.05855886
0.06000000	0.99959303	0.06210763
0.06333333	0.99961651	0.06566864
0.06666667	0.99963764	0.06924196
0.07000000	0.99965675	0.07282768
0.07333333	0.99967413	0.07642587
0.07666667	0.99968999	0.08003662
0.08000000	0.99970454	0.08366001
0.08333333	0.99971791	0.08729611
0.08666667	0.99973026	0.09094502
0.09000000	0.99974169	0.09460682
0.09333333	0.99975231	0.09828158
0.09666667	0.99976219	0.10196940
0.10000000	0.99977141	0.10567036
0.10333333	0.99978003	0.10938454
0.10666667	0.99978811	0.11311203
0.11000000	0.99979571	0.11685291
0.11333333	0.99980285	0.12060728
0.11666667	0.99980959	0.12437522
0.12000000	0.99981595	0.12815681
0.12333333	0.99982196	0.13195215
0.12666667	0.99982766	0.13576132
0.13000000	0.99983307	0.13958441
0.13333333	0.99983820	0.14342152
0.13666667	0.99984308	0.14727272
0.14000000	0.99984773	0.15113812
0.14333333	0.99985216	0.15501780
0.14666667	0.99985639	0.15891186
0.15000000	0.99986043	0.16282038
0.15333333	0.99986429	0.16674345
0.15666667	0.99986799	0.17068118
0.16000000	0.99987153	0.17463365
0.16333333	0.99987493	0.17860096
0.16666667	0.99987819	0.18258320
0.17000000	0.99988132	0.18658046
0.17333333	0.99988433	0.19059285
0.17666667	0.99988723	0.19462044
0.18000000	0.99989001	0.19866335
0.18333333	0.99989270	0.20272166
0.18666667	0.99989529	0.20679548
0.19000000	0.99989779	0.21088489
0.19333333	0.99990019	0.21498999
0.19666667	0.99990252	0.21911089
0.20000000	0.99990477	0.22324768
0.20333333	0.99990694	0.22740045
0.20666667	0.99990905	0.23156931
0.21000000	0.99991108	0.23575435
0.21333333	0.99991305	0.23995568
0.21666667	0.99991496	0.24417338
0.22000000	0.99991681	0.24840756
0.22333333	0.99991860	0.25265832
0.22666667	0.99992035	0.25692576
0.23000000	0.99992203	0.26120998
0.23333333	0.99992367	0.26551108
0.23666667	0.99992527	0.26982915
0.24000000	0.99992682	0.27416430
0.24333333	0.99992832	0.27851662
0.24666667	0.99992978	0.28288623
0.25000000	0.99993121	0.28727321
0.25333333	0.99993259	0.29167767
0.25666667	0.99993394	0.29609972
0.26000000	0.99993525	0.30053944
0.26333333	0.99993653	0.30499694
0.26666667	0.99993778	0.30947232
0.27000000	0.99993899	0.31396568
0.27333333	0.99994017	0.31847712
0.27666667	0.99994133	0.32300674
0.28000000	0.99994245	0.32755465
0.28333333	0.99994355	0.33212093
0.28666667	0.99994463	0.33670570
0.29000000	0.99994567	0.34130904
0.29333333	0.99994669	0.34593107
0.29666667	0.99994769	0.35057187
0.30000000	0.99994867	0.35523154
0.30333333	0.99994962	0.35991020
0.30666667	0.99995055	0.36460792
0.31000000	0.99995146	0.36932481
0.31333333	0.99995235	0.37406097
0.31666667	0.99995322	0.37881649
0.32000000	0.99995408	0.38359147
0.32333333	0.99995491	0.38838600
0.32666667	0.99995572	0.39320018
0.33000000	0.99995652	0.39803410
0.33333333	0.99995731	0.40288785
0.33666667	0.99995807	0.40776154
0.34000000	0.99995882	0.41265524
0.34333333	0.99995955	0.41756904
0.34666667	0.99996027	0.42250305
0.35000000	0.99996098	0.42745734
0.35333333	0.99996167	0.43243201
0.35666667	0.99996234	0.43742714
0.36000000	0.99996301	0.44244282
0.36333333	0.99996366	0.44747912
0.36666667	0.99996429	0.45253614
0.37000000	0.99996492	0.45761396
0.37333333	0.99996553	0.46271265
0.37666667	0.99996614	0.46783230
0.38000000	0.99996673	0.47297298
0.38333333	0.99996730	0.47813476
0.38666667	0.99996787	0.48331773
0.39000000	0.99996843	0.48852195
0.39333333	0.99996898	0.49374750
0.39666667	0.99996952	0.49899443
0.40000000	0.99997004	0.50426283
0.40333333	0.99997056	0.50955275
0.40666667	0.99997107	0.51486426
0.41000000	0.99997157	0.52019742
0.41333333	0.99997206	0.52555228
0.41666667	0.99997254	0.53092890
0.42000000	0.99997302	0.53632733
0.42333333	0.99997348	0.54174763
0.42666667	0.99997394	0.54718984
0.43000000	0.99997439	0.55265401
0.43333333	0.99997483	0.55814018
0.43666667	0.99997526	0.56364838
0.44000000	0.99997569	0.56917867
0.44333333	0.99997611	0.57473106
0.44666667	0.99997652	0.58030559
0.45000000	0.99997693	0.58590228
0.45333333	0.99997732	0.59152117
0.45666667	0.99997772	0.59716226
0.46000000	0.99997810	0.60282557
0.46333333	0.99997848	0.60851112
0.46666667	0.99997885	0.61421891
0.47000000	0.99997922	0.61994895
0.47333333	0.99997958	0.62570124
0.47666667	0.99997993	0.63147576
0.48000000	0.99998028	0.63727252
0.48333333	0.99998062	0.64309150
0.48666667	0.99998096	0.64893268
0.49000000	0.99998129	0.65479603
0.49333333	0.99998162	0.66068154
0.49666667	0.99998194	0.66658915
0.50000000	0.99998226	0.67251884
0.50333333	0.99998257	0.67847056
