# x1	y1	P/MPa
0.59000000	0.99998654	0.44315047
0.59333333	0.99998678	0.44643809
0.59666667	0.99998702	0.44972951
0.60000000	0.99998725	0.45302453
0.60333333	0.99998748	0.45632294
0.60666667	0.99998771	0.45962453
0.61000000	0.99998793	0.46292908
0.61333333	0.99998815	0.46623639
0.61666667	0.99998837	0.46954621
0.62000000	0.99998858	0.47285834
0.62333333	0.99998879	0.47617253
0.62666667	0.99998899	0.47948856
0.63000000	0.99998920	0.48280618
0.63333333	0.99998939	0.48612516
0.63666667	0.99998959	0.48944524
0.64000000	0.99998978	0.49276618
0.64333333	0.99998997	0.49608772
0.64666667	0.99999016	0.49940961
0.65000000	0.99999034	0.50273157
0.65333333	0.99999052	0.50605334
0.65666667	0.99999070	0.50937466
0.66000000	0.99999088	0.51269524
0.66333333	0.99999105	0.51601480
0.66666667	0.99999122	0.51933306
0.67000000	0.99999139	0.52264974
0.67333333	0.99999155	0.52596453
0.67666667	0.99999171	0.52927714
0.68000000	0.99999187	0.53258728
0.68333333	0.99999203	0.53589462
0.68666667	0.99999218	0.53919887
0.69000000	0.99999233	0.54249970
0.69333333	0.99999248	0.54579681
0.69666667	0.99999263	0.54908985
0.70000000	0.99999277	0.55237852
0.70333333	0.99999292	0.55566247
0.70666667	0.99999306	0.55894136
0.71000000	0.99999319	0.56221487
0.71333333	0.99999333	0.56548263
0.71666667	0.99999346	0.56874431
0.72000000	0.99999359	0.57199954
0.72333333	0.99999372	0.57524797
0.72666667	0.99999385	0.57848923
0.73000000	0.99999397	0.58172296
0.73333333	0.99999410	0.58494879
0.73666667	0.99999422	0.58816634
0.74000000	0.99999434	0.59137522
0.74333333	0.99999445	0.59457507
0.74666667	0.99999457	0.59776547
0.75000000	0.99999468	0.60094606
0.75333333	0.99999479	0.60411641
0.75666667	0.99999490	0.60727615
0.76000000	0.99999501	0.61042485
0.76333333	0.99999512	0.61356211
0.76666667	0.99999522	0.61668752
0.77000000	0.99999532	0.61980066
