# # x1	 y1	 P
0.000000000000000000e+00	0.000000000000000000e+00	1.522543999999999978e-06
3.344482000000000184e-03	9.992385179999999645e-01	1.992730764999999828e-03
6.688963000000000027e-03	9.996224049999999917e-01	4.005053831000000321e-03
1.003344500000000021e-02	9.997504259999999698e-01	6.038771283999999802e-03
1.337792600000000005e-02	9.998144439999999689e-01	8.094165854000001312e-03
1.672240800000000110e-02	9.998528540000000131e-01	1.017152344999999909e-02
2.006689000000000042e-02	9.998784590000000527e-01	1.227113316200000026e-02
2.341137100000000026e-02	9.998967450000000312e-01	1.439328725400000099e-02
2.675585299999999958e-02	9.999104580000000020e-01	1.653828115400000215e-02
3.010033399999999942e-02	9.999211209999999683e-01	1.870641344599999895e-02
3.344481600000000221e-02	9.999296500000000032e-01	2.089798586200000002e-02
3.678929799999999806e-02	9.999366259999999951e-01	2.311330325800000154e-02
4.013377900000000137e-02	9.999424369999999618e-01	2.535267360500000067e-02
4.347826099999999722e-02	9.999473530000000387e-01	2.761640795600000045e-02
4.682274200000000053e-02	9.999515639999999594e-01	2.990482044000000034e-02
5.016722400000000331e-02	9.999552130000000094e-01	3.221822822200000325e-02
5.351170599999999916e-02	9.999584040000000229e-01	3.455695148000000050e-02
5.685618700000000247e-02	9.999612180000000405e-01	3.692131337000000013e-02
6.020066899999999832e-02	9.999637179999999459e-01	3.931163999099999973e-02
6.354515099999999417e-02	9.999659539999999902e-01	4.172826033700000048e-02
6.688963200000000442e-02	9.999679639999999869e-01	4.417150628300000464e-02
7.023411400000000027e-02	9.999697829999999454e-01	4.664171249699999855e-02
7.357859499999999664e-02	9.999714339999999924e-01	4.913921641800000212e-02
7.692307700000000636e-02	9.999729410000000041e-01	5.166435819199999974e-02
8.026755900000000221e-02	9.999743210000000548e-01	5.421748063100000070e-02
8.361203999999999859e-02	9.999755900000000253e-01	5.679892908300000071e-02
8.695652199999999443e-02	9.999767600000000201e-01	5.940905146699999861e-02
9.030100300000000468e-02	9.999778430000000329e-01	6.204819813399999745e-02
9.364548500000000053e-02	9.999788469999999485e-01	6.471672180300000465e-02
9.698996699999999638e-02	9.999797809999999565e-01	6.741497748900000808e-02
1.003344480000000066e-01	9.999806519999999699e-01	7.014332240500001370e-02
1.036789300000000025e-01	9.999814649999999583e-01	7.290211589000000769e-02
1.070234109999999988e-01	9.999822269999999458e-01	7.569171929200001203e-02
1.103678929999999947e-01	9.999829420000000413e-01	7.851249587800000762e-02
1.137123750000000044e-01	9.999836140000000206e-01	8.136481072900000888e-02
1.170568560000000008e-01	9.999842469999999928e-01	8.424903062300000134e-02
1.204013379999999966e-01	9.999848439999999838e-01	8.716552392199999888e-02
1.237458190000000069e-01	9.999854080000000200e-01	9.011466044600001390e-02
1.270903009999999889e-01	9.999859410000000448e-01	9.309681134600000796e-02
1.304347829999999986e-01	9.999864459999999733e-01	9.611234896800001370e-02
1.337792640000000088e-01	9.999869249999999710e-01	9.916164671400000408e-02
1.371237459999999908e-01	9.999873809999999530e-01	1.022450788780000092e-01
1.404682270000000011e-01	9.999878129999999476e-01	1.053630205550000060e-01
1.438127090000000108e-01	9.999882249999999528e-01	1.085158473910000226e-01
1.471571909999999928e-01	9.999886169999999685e-01	1.117039354790000105e-01
1.505016720000000030e-01	9.999889920000000210e-01	1.149276611690000088e-01
1.538461540000000127e-01	9.999893490000000273e-01	1.181874008909999940e-01
1.571906349999999952e-01	9.999896900000000421e-01	1.214835309739999980e-01
1.605351170000000049e-01	9.999900170000000088e-01	1.248164274459999945e-01
1.638795989999999869e-01	9.999903289999999556e-01	1.281864658450000138e-01
1.672240799999999972e-01	9.999906290000000197e-01	1.315940210080000228e-01
1.705685620000000069e-01	9.999909160000000075e-01	1.350394668630000017e-01
1.739130429999999894e-01	9.999911910000000015e-01	1.385231762080000040e-01
1.772575249999999991e-01	9.999914549999999736e-01	1.420455204909999991e-01
1.806020070000000088e-01	9.999917090000000064e-01	1.456068695740000141e-01
1.839464879999999913e-01	9.999919529999999890e-01	1.492075914730000008e-01
1.872909700000000011e-01	9.999921880000000041e-01	1.528480522580000223e-01
1.906354520000000108e-01	9.999924140000000516e-01	1.565286154620000036e-01
1.939799329999999933e-01	9.999926319999999924e-01	1.602496422150000155e-01
1.973244150000000030e-01	9.999928409999999657e-01	1.640114907590000115e-01
2.006688960000000133e-01	9.999930430000000259e-01	1.678145162240000099e-01
2.040133779999999952e-01	9.999932379999999510e-01	1.716590703560000042e-01
2.073578600000000050e-01	9.999934259999999631e-01	1.755455012330000009e-01
2.107023409999999874e-01	9.999936069999999511e-01	1.794741529770000066e-01
2.140468229999999972e-01	9.999937829999999694e-01	1.834453654570000203e-01
2.173913040000000074e-01	9.999939519999999638e-01	1.874594739940000088e-01
2.207357859999999894e-01	9.999941159999999885e-01	1.915168090540000090e-01
2.240802679999999991e-01	9.999942739999999608e-01	1.956176959350000022e-01
2.274247490000000094e-01	9.999944269999999635e-01	1.997624544580000050e-01
2.307692309999999913e-01	9.999945749999999967e-01	2.039513986410000090e-01
2.341137120000000016e-01	9.999947179999999491e-01	2.081848363790000100e-01
2.374581940000000113e-01	9.999948570000000148e-01	2.124630691119999970e-01
2.408026759999999933e-01	9.999949909999999997e-01	2.167863914970000194e-01
2.441471570000000035e-01	9.999951219999999585e-01	2.211550910689999982e-01
2.474916390000000133e-01	9.999952479999999477e-01	2.255694479020000087e-01
2.508361199999999958e-01	9.999953700000000500e-01	2.300297342339999995e-01
2.541806019999999777e-01	9.999954890000000152e-01	2.345362142609999923e-01
2.575250840000000152e-01	9.999956039999999824e-01	2.390891435829999856e-01
2.608695650000000255e-01	9.999957160000000345e-01	2.436887689920000100e-01
2.642140470000000074e-01	9.999958239999999776e-01	2.483353280880000180e-01
2.675585280000000177e-01	9.999959290000000056e-01	2.530290489309999780e-01
2.709030099999999996e-01	9.999960310000000074e-01	2.577701496900000055e-01
2.742474919999999816e-01	9.999961309999999548e-01	2.625588382890000072e-01
2.775919729999999919e-01	9.999962270000000153e-01	2.673953120600000011e-01
2.809364549999999738e-01	9.999963210000000213e-01	2.722797573890000100e-01
2.842809359999999841e-01	9.999964110000000295e-01	2.772123493740000222e-01
2.876254180000000216e-01	9.999964999999999549e-01	2.821932514750000176e-01
2.909699000000000035e-01	9.999965859999999651e-01	2.872226151689999951e-01
2.943143810000000138e-01	9.999966689999999492e-01	2.923005796150000557e-01
2.976588629999999958e-01	9.999967509999999615e-01	2.974272713089999853e-01
3.010033440000000060e-01	9.999968299999999477e-01	3.026028037569999940e-01
3.043478259999999880e-01	9.999969069999999904e-01	3.078272771439999889e-01
3.076923080000000255e-01	9.999969810000000070e-01	3.131007780089999915e-01
3.110367889999999802e-01	9.999970540000000518e-01	3.184233789290000227e-01
3.143812710000000177e-01	9.999971250000000422e-01	3.237951382060000327e-01
3.177257529999999996e-01	9.999971939999999782e-01	3.292160995620000419e-01
3.210702340000000099e-01	9.999972609999999706e-01	3.346862918410000165e-01
3.244147159999999919e-01	9.999973269999999914e-01	3.402057287149999887e-01
3.277591970000000021e-01	9.999973899999999860e-01	3.457744084080000002e-01
3.311036789999999841e-01	9.999974520000000089e-01	3.513923133580000302e-01
3.344481610000000216e-01	9.999975129999999490e-01	3.570594102469999975e-01
3.377926419999999763e-01	9.999975709999999740e-01	3.627756491690000140e-01
3.411371240000000138e-01	9.999976289999999990e-01	3.685409639540000448e-01
3.444816050000000240e-01	9.999976849999999695e-01	3.743552716520000545e-01
3.478260870000000060e-01	9.999977389999999966e-01	3.802184723679999934e-01
3.511705689999999880e-01	9.999977920000000520e-01	3.861304490480000351e-01
3.545150499999999982e-01	9.999978440000000246e-01	3.920910672810000164e-01
3.578595319999999802e-01	9.999978940000000538e-01	3.981001751100000097e-01
3.612040129999999905e-01	9.999979430000000002e-01	4.041576028559999978e-01
3.645484949999999724e-01	9.999979909999999750e-01	4.102631629600000385e-01
3.678929770000000099e-01	9.999980379999999780e-01	4.164166498270000516e-01
3.712374580000000202e-01	9.999980830000000376e-01	4.226178396979999863e-01
3.745819400000000021e-01	9.999981270000000144e-01	4.288664905239999992e-01
3.779264210000000124e-01	9.999981709999999913e-01	4.351623418580000680e-01
3.812709029999999943e-01	9.999982130000000247e-01	4.415051147630000283e-01
3.846153849999999763e-01	9.999982539999999753e-01	4.478945117319999558e-01
3.879598659999999866e-01	9.999982939999999543e-01	4.543302166890000326e-01
3.913043480000000240e-01	9.999983329999999615e-01	4.608118946810000338e-01
3.946488289999999788e-01	9.999983719999999687e-01	4.673391921760000067e-01
3.979933110000000163e-01	9.999984090000000325e-01	4.739117369939999658e-01
4.013377929999999982e-01	9.999984450000000136e-01	4.805291380500000264e-01
4.046822740000000085e-01	9.999984809999999946e-01	4.871909855799999578e-01
4.080267559999999905e-01	9.999985150000000322e-01	4.938968511050000898e-01
4.113712370000000007e-01	9.999985489999999588e-01	5.006462874679999953e-01
4.147157189999999827e-01	9.999985820000000247e-01	5.074388288979999606e-01
4.180602010000000202e-01	9.999986140000000079e-01	5.142739910690000693e-01
4.214046819999999749e-01	9.999986450000000193e-01	5.211512712520000035e-01
4.247491640000000124e-01	9.999986760000000308e-01	5.280701481410000619e-01
