# [C2r_Br1o] Distance / pm; [C2r_H1r]-[C2r_Br1o] Angle / Degree; Occurrence
325.0000000;  2.700000000;  0.000000000
335.0000000;  2.700000000;  0.000000000
345.0000000;  2.700000000;  0.000000000
355.0000000;  2.700000000;  3.215155804
365.0000000;  2.700000000;  27.42046705
375.0000000;  2.700000000;  295.2175299
385.0000000;  2.700000000;  956.8889469
395.0000000;  2.700000000;  1464.371637
405.0000000;  2.700000000;  1805.341811
415.0000000;  2.700000000;  1764.404865
425.0000000;  2.700000000;  1383.197310
435.0000000;  2.700000000;  1184.342462
445.0000000;  2.700000000;  895.9710855
455.0000000;  2.700000000;  692.5514888
465.0000000;  2.700000000;  494.0044520
475.0000000;  2.700000000;  454.8915534
485.0000000;  2.700000000;  341.8633827
495.0000000;  2.700000000;  245.6041042
505.0000000;  2.700000000;  215.8807583
515.0000000;  2.700000000;  182.9664146
525.0000000;  2.700000000;  150.9361260
535.0000000;  2.700000000;  152.6346910
545.0000000;  2.700000000;  154.1865125
555.0000000;  2.700000000;  116.6939072
565.0000000;  2.700000000;  124.7543501
575.0000000;  2.700000000;  112.3856378
585.0000000;  2.700000000;  97.41727152
595.0000000;  2.700000000;  105.1310799
605.0000000;  2.700000000;  91.67836434
615.0000000;  2.700000000;  99.59556155
625.0000000;  2.700000000;  98.67406584
635.0000000;  2.700000000;  84.01521661
645.0000000;  2.700000000;  106.9917252
655.0000000;  2.700000000;  85.32151807
665.0000000;  2.700000000;  75.13478934
675.0000000;  2.700000000;  84.11113283
685.0000000;  2.700000000;  99.59614262
695.0000000;  2.700000000;  95.86265512
705.0000000;  2.700000000;  87.90397923
715.0000000;  2.700000000;  105.6861789
725.0000000;  2.700000000;  110.8941348
735.0000000;  2.700000000;  98.18304202
745.0000000;  2.700000000;  105.3891364
755.0000000;  2.700000000;  95.84941143
765.0000000;  2.700000000;  98.62625227
775.0000000;  2.700000000;  102.8028316
785.0000000;  2.700000000;  104.9848313
795.0000000;  2.700000000;  120.7123254
805.0000000;  2.700000000;  130.0640996
815.0000000;  2.700000000;  118.4914702
