# T/K	P/bar	rhoL/g/cm3	rhoV/g/cm3	ift/mN/m
318	22.5280	1.0490	0.1662	1.6990
319	23.0590	1.0402	0.1716	1.6003
320	23.6000	1.0313	0.1774	1.5027
321	24.1500	1.0220	0.1834	1.4064
322	24.7110	1.0125	0.1897	1.3113
323	25.2810	1.0026	0.1963	1.2175
324	25.8620	0.9924	0.2032	1.1251
325	26.4540	0.9818	0.2106	1.0341
326	27.0560	0.9708	0.2184	0.9446
327	27.6700	0.9593	0.2267	0.8567
328	28.2940	0.9472	0.2355	0.7705
329	28.9310	0.9345	0.2450	0.6861
330	29.5790	0.9211	0.2553	0.6037
331	30.2390	0.9068	0.2664	0.5234
332	30.9120	0.8914	0.2786	0.4453
333	31.5990	0.8747	0.2922	0.3699
334	32.2990	0.8564	0.3075	0.2972
335	33.0130	0.8357	0.3251	0.2279
336	33.7430	0.8118	0.3460	0.1624
337	34.4890	0.7826	0.3723	0.1017
338	35.2530	0.7429	0.4093	0.0474
339	36.0400	0.6598	0.4892	0.0044
339.173	36.1770	0.5736	0.5736	0.0000
