# [C2r_O1o] Distance / pm; [C2r_H1r]-[C2r_O1o] Angle / Degree; Occurrence
325.0000000;  2.700000000;  3.098526858
335.0000000;  2.700000000;  53.21231354
345.0000000;  2.700000000;  242.5325892
355.0000000;  2.700000000;  636.1489490
365.0000000;  2.700000000;  809.8143328
375.0000000;  2.700000000;  826.3737756
385.0000000;  2.700000000;  777.8498508
395.0000000;  2.700000000;  700.3689279
405.0000000;  2.700000000;  569.8584973
415.0000000;  2.700000000;  431.1737755
425.0000000;  2.700000000;  432.3121354
435.0000000;  2.700000000;  412.2832347
445.0000000;  2.700000000;  325.4992037
455.0000000;  2.700000000;  296.8316190
465.0000000;  2.700000000;  287.1933214
475.0000000;  2.700000000;  272.5712810
485.0000000;  2.700000000;  255.8454916
495.0000000;  2.700000000;  242.8579513
505.0000000;  2.700000000;  200.8857629
515.0000000;  2.700000000;  214.1639852
525.0000000;  2.700000000;  197.0893688
535.0000000;  2.700000000;  181.3026729
545.0000000;  2.700000000;  206.8189450
555.0000000;  2.700000000;  243.7323929
565.0000000;  2.700000000;  268.8704094
575.0000000;  2.700000000;  291.3538729
585.0000000;  2.700000000;  343.9585195
595.0000000;  2.700000000;  279.0243134
605.0000000;  2.700000000;  292.6380414
615.0000000;  2.700000000;  248.1538468
625.0000000;  2.700000000;  227.7471303
635.0000000;  2.700000000;  193.6076411
645.0000000;  2.700000000;  157.9170371
655.0000000;  2.700000000;  150.2155903
665.0000000;  2.700000000;  149.0859912
675.0000000;  2.700000000;  153.6459916
685.0000000;  2.700000000;  127.7184027
695.0000000;  2.700000000;  137.9327995
705.0000000;  2.700000000;  110.5115886
715.0000000;  2.700000000;  122.2221800
725.0000000;  2.700000000;  109.8956258
735.0000000;  2.700000000;  120.1282500
745.0000000;  2.700000000;  112.2564239
755.0000000;  2.700000000;  125.7187767
765.0000000;  2.700000000;  119.1959598
775.0000000;  2.700000000;  113.3967341
785.0000000;  2.700000000;  128.3019006
795.0000000;  2.700000000;  118.9627521
805.0000000;  2.700000000;  119.8982714
815.0000000;  2.700000000;  115.6865516
825.0000000;  2.700000000;  146.9646877
835.0000000;  2.700000000;  141.8021486
845.0000000;  2.700000000;  133.2705284
855.0000000;  2.700000000;  130.4167603
865.0000000;  2.700000000;  125.9082025
875.0000000;  2.700000000;  130.4258478
885.0000000;  2.700000000;  122.4445727
895.0000000;  2.700000000;  130.7783512
905.0000000;  2.700000000;  143.8103459
915.0000000;  2.700000000;  119.8074164
925.0000000;  2.700000000;  115.5951909
935.0000000;  2.700000000;  127.4096029
945.0000000;  2.700000000;  138.0666668
955.0000000;  2.700000000;  124.3463069
965.0000000;  2.700000000;  139.5995105
975.0000000;  2.700000000;  123.8092146
985.0000000;  2.700000000;  123.5432963
995.0000000;  2.700000000;  138.8931720
5.000000000;  4.500000000;  0.000000000
15.00000000;  4.500000000;  0.000000000
25.00000000;  4.500000000;  0.000000000
35.00000000;  4.500000000;  0.000000000
45.00000000;  4.500000000;  0.000000000
55.00000000;  4.500000000;  0.000000000
65.00000000;  4.500000000;  0.000000000
75.00000000;  4.500000000;  0.000000000
85.00000000;  4.500000000;  0.000000000
95.00000000;  4.500000000;  0.000000000
105.0000000;  4.500000000;  0.000000000
115.0000000;  4.500000000;  0.000000000
125.0000000;  4.500000000;  0.000000000
135.0000000;  4.500000000;  0.000000000
145.0000000;  4.500000000;  0.000000000
155.0000000;  4.500000000;  0.000000000
165.0000000;  4.500000000;  0.000000000
175.0000000;  4.500000000;  0.000000000
185.0000000;  4.500000000;  0.000000000
195.0000000;  4.500000000;  0.000000000
205.0000000;  4.500000000;  0.000000000
215.0000000;  4.500000000;  0.000000000
225.0000000;  4.500000000;  0.000000000
235.0000000;  4.500000000;  0.000000000
245.0000000;  4.500000000;  0.000000000
255.0000000;  4.500000000;  0.000000000
265.0000000;  4.500000000;  0.000000000
275.0000000;  4.500000000;  0.000000000
285.0000000;  4.500000000;  0.000000000
295.0000000;  4.500000000;  0.000000000
305.0000000;  4.500000000;  0.000000000
315.0000000;  4.500000000;  0.000000000
325.0000000;  4.500000000;  0.5633708867
335.0000000;  4.500000000;  35.54764904
345.0000000;  4.500000000;  210.1850430
355.0000000;  4.500000000;  545.1215473
365.0000000;  4.500000000;  709.2698719
375.0000000;  4.500000000;  762.3925704
385.0000000;  4.500000000;  764.3266933
395.0000000;  4.500000000;  727.7662268
405.0000000;  4.500000000;  562.7411385
415.0000000;  4.500000000;  457.7835866
425.0000000;  4.500000000;  387.8610185
435.0000000;  4.500000000;  320.6267523
445.0000000;  4.500000000;  261.6944269
455.0000000;  4.500000000;  280.8096656
465.0000000;  4.500000000;  291.1444847
475.0000000;  4.500000000;  239.5525252
485.0000000;  4.500000000;  250.4013424
495.0000000;  4.500000000;  238.1922635
505.0000000;  4.500000000;  243.2178965
515.0000000;  4.500000000;  231.6209451
525.0000000;  4.500000000;  224.9753142
535.0000000;  4.500000000;  227.0237371
545.0000000;  4.500000000;  234.6960814
555.0000000;  4.500000000;  252.3121834
565.0000000;  4.500000000;  269.8469033
575.0000000;  4.500000000;  299.8971704
585.0000000;  4.500000000;  295.7110303
595.0000000;  4.500000000;  287.0445224
605.0000000;  4.500000000;  258.0700250
615.0000000;  4.500000000;  245.1327258
625.0000000;  4.500000000;  230.8248416
635.0000000;  4.500000000;  197.0484113
645.0000000;  4.500000000;  158.5200111
655.0000000;  4.500000000;  166.6507717
665.0000000;  4.500000000;  140.4252874
675.0000000;  4.500000000;  144.4774666
685.0000000;  4.500000000;  144.4306844
695.0000000;  4.500000000;  120.5577483
705.0000000;  4.500000000;  118.6598943
715.0000000;  4.500000000;  129.5079301
725.0000000;  4.500000000;  118.1748966
735.0000000;  4.500000000;  116.5009992
745.0000000;  4.500000000;  109.6897181
755.0000000;  4.500000000;  119.4878427
765.0000000;  4.500000000;  119.3792371
775.0000000;  4.500000000;  128.2098418
785.0000000;  4.500000000;  125.7483788
795.0000000;  4.500000000;  122.2328853
805.0000000;  4.500000000;  120.7289347
815.0000000;  4.500000000;  113.4308252
825.0000000;  4.500000000;  128.3807773
835.0000000;  4.500000000;  128.5778562
845.0000000;  4.500000000;  120.2894544
855.0000000;  4.500000000;  115.8339117
865.0000000;  4.500000000;  117.7753129
875.0000000;  4.500000000;  121.3971376
885.0000000;  4.500000000;  117.4135891
895.0000000;  4.500000000;  133.6833730
905.0000000;  4.500000000;  123.5827358
915.0000000;  4.500000000;  118.0821115
925.0000000;  4.500000000;  127.7671828
935.0000000;  4.500000000;  117.1330531
945.0000000;  4.500000000;  113.1635100
955.0000000;  4.500000000;  132.2629237
965.0000000;  4.500000000;  125.6860902
975.0000000;  4.500000000;  125.2154377
985.0000000;  4.500000000;  131.7093934
995.0000000;  4.500000000;  139.6822671
5.000000000;  6.300000000;  0.000000000
15.00000000;  6.300000000;  0.000000000
25.00000000;  6.300000000;  0.000000000
35.00000000;  6.300000000;  0.000000000
45.00000000;  6.300000000;  0.000000000
55.00000000;  6.300000000;  0.000000000
65.00000000;  6.300000000;  0.000000000
75.00000000;  6.300000000;  0.000000000
85.00000000;  6.300000000;  0.000000000
95.00000000;  6.300000000;  0.000000000
105.0000000;  6.300000000;  0.000000000
115.0000000;  6.300000000;  0.000000000
125.0000000;  6.300000000;  0.000000000
135.0000000;  6.300000000;  0.000000000
145.0000000;  6.300000000;  0.000000000
155.0000000;  6.300000000;  0.000000000
165.0000000;  6.300000000;  0.000000000
175.0000000;  6.300000000;  0.000000000
