# Distance / pm;  g(r);  Integral
1.666666667;  0.000000000;  0.000000000
5.000000000;  0.000000000;  0.000000000
8.333333333;  0.000000000;  0.000000000
11.66666667;  0.000000000;  0.000000000
15.00000000;  0.000000000;  0.000000000
18.33333333;  0.000000000;  0.000000000
21.66666667;  0.000000000;  0.000000000
25.00000000;  0.000000000;  0.000000000
28.33333333;  0.000000000;  0.000000000
31.66666667;  0.000000000;  0.000000000
35.00000000;  0.000000000;  0.000000000
38.33333333;  0.000000000;  0.000000000
41.66666667;  0.000000000;  0.000000000
45.00000000;  0.000000000;  0.000000000
48.33333333;  0.000000000;  0.000000000
51.66666667;  0.000000000;  0.000000000
55.00000000;  0.000000000;  0.000000000
58.33333333;  0.000000000;  0.000000000
61.66666667;  0.000000000;  0.000000000
65.00000000;  0.000000000;  0.000000000
68.33333333;  0.000000000;  0.000000000
71.66666667;  0.000000000;  0.000000000
75.00000000;  0.000000000;  0.000000000
78.33333333;  0.000000000;  0.000000000
81.66666667;  0.000000000;  0.000000000
85.00000000;  0.000000000;  0.000000000
88.33333333;  0.000000000;  0.000000000
91.66666667;  0.000000000;  0.000000000
95.00000000;  0.000000000;  0.000000000
98.33333333;  0.000000000;  0.000000000
101.6666667;  0.000000000;  0.000000000
105.0000000;  0.000000000;  0.000000000
108.3333333;  0.000000000;  0.000000000
111.6666667;  0.000000000;  0.000000000
115.0000000;  0.000000000;  0.000000000
118.3333333;  0.000000000;  0.000000000
121.6666667;  0.000000000;  0.000000000
125.0000000;  0.000000000;  0.000000000
128.3333333;  0.000000000;  0.000000000
131.6666667;  0.000000000;  0.000000000
135.0000000;  0.000000000;  0.000000000
138.3333333;  0.000000000;  0.000000000
141.6666667;  0.000000000;  0.000000000
145.0000000;  0.000000000;  0.000000000
148.3333333;  0.000000000;  0.000000000
151.6666667;  0.000000000;  0.000000000
155.0000000;  0.000000000;  0.000000000
158.3333333;  0.000000000;  0.000000000
161.6666667;  0.000000000;  0.000000000
165.0000000;  0.000000000;  0.000000000
168.3333333;  0.000000000;  0.000000000
171.6666667;  0.000000000;  0.000000000
175.0000000;  0.000000000;  0.000000000
178.3333333;  0.000000000;  0.000000000
181.6666667;  0.000000000;  0.000000000
185.0000000;  0.000000000;  0.000000000
188.3333333;  0.000000000;  0.000000000
191.6666667;  0.000000000;  0.000000000
195.0000000;  0.000000000;  0.000000000
198.3333333;  0.000000000;  0.000000000
201.6666667;  0.000000000;  0.000000000
205.0000000;  0.000000000;  0.000000000
208.3333333;  0.000000000;  0.000000000
211.6666667;  0.000000000;  0.000000000
215.0000000;  0.000000000;  0.000000000
218.3333333;  0.000000000;  0.000000000
221.6666667;  0.000000000;  0.000000000
225.0000000;  0.000000000;  0.000000000
228.3333333;  0.000000000;  0.000000000
231.6666667;  0.000000000;  0.000000000
235.0000000;  0.000000000;  0.000000000
238.3333333;  0.000000000;  0.000000000
241.6666667;  0.000000000;  0.000000000
245.0000000;  0.000000000;  0.000000000
248.3333333;  0.000000000;  0.000000000
251.6666667;  0.000000000;  0.000000000
255.0000000;  0.000000000;  0.000000000
258.3333333;  0.000000000;  0.000000000
261.6666667;  0.000000000;  0.000000000
265.0000000;  0.000000000;  0.000000000
268.3333333;  0.000000000;  0.000000000
271.6666667;  0.000000000;  0.000000000
275.0000000;  0.000000000;  0.000000000
278.3333333;  0.000000000;  0.000000000
281.6666667;  0.000000000;  0.000000000
285.0000000;  0.0001728410295;  4.012252616E-07
288.3333333;  0.001841904646;  4.777538902E-06
291.6666667;  0.003958437449;  1.440138931E-05
295.0000000;  0.007780033728;  3.375120738E-05
298.3333333;  0.01874263387;  8.142563135E-05
301.6666667;  0.03560177856;  0.0001740184950
305.0000000;  0.07075836967;  0.0003621357240
308.3333333;  0.1234759327;  0.0006976216107
311.6666667;  0.1855713009;  0.001212781947
315.0000000;  0.2678360150;  0.001972304875
318.3333333;  0.3720549821;  0.003049816787
321.6666667;  0.4966625730;  0.004518486677
325.0000000;  0.6373960599;  0.006442582324
328.3333333;  0.7764739327;  0.008834836469
331.6666667;  0.9302992893;  0.01175950566
335.0000000;  1.091895307;  0.01526154444
338.3333333;  1.216822595;  0.01924231463
341.6666667;  1.365272874;  0.02379717304
345.0000000;  1.489261318;  0.02886310359
348.3333333;  1.577845928;  0.03433458254
351.6666667;  1.638002848;  0.04012389603
355.0000000;  1.680697304;  0.04617725117
358.3333333;  1.708335744;  0.05244624052
361.6666667;  1.717441252;  0.05886644241
365.0000000;  1.686854073;  0.06528907406
368.3333333;  1.638845502;  0.07164340424
371.6666667;  1.584187395;  0.07789748440
375.0000000;  1.529851420;  0.08404587433
378.3333333;  1.463318602;  0.09003188753
381.6666667;  1.390161616;  0.09581928447
385.0000000;  1.312658106;  0.1013798959
388.3333333;  1.268332591;  0.1068461764
391.6666667;  1.229304609;  0.1122355974
395.0000000;  1.164418982;  0.1174278140
398.3333333;  1.110012208;  0.1224613171
401.6666667;  1.032230270;  0.1272207743
405.0000000;  0.9889388627;  0.1318566170
408.3333333;  0.9476785447;  0.1363724709
411.6666667;  0.9113097893;  0.1407862091
415.0000000;  0.8993458746;  0.1452128269
418.3333333;  0.8617642153;  0.1495228783
421.6666667;  0.8312261375;  0.1537467114
425.0000000;  0.8064289750;  0.1579095825
428.3333333;  0.7804187329;  0.1620016273
431.6666667;  0.7720400215;  0.1661129896
435.0000000;  0.7469743684;  0.1701525406
438.3333333;  0.7245292871;  0.1741309895
441.6666667;  0.7093222265;  0.1780853989
445.0000000;  0.6863895924;  0.1819699380
448.3333333;  0.6914148210;  0.1859417575
451.6666667;  0.6837139916;  0.1899279592
455.0000000;  0.6706510226;  0.1938959265
458.3333333;  0.6638498822;  0.1978814138
461.6666667;  0.6590707840;  0.2018959718
465.0000000;  0.6501999299;  0.2059138932
468.3333333;  0.6509162738;  0.2099941158
471.6666667;  0.6492400435;  0.2141219689
475.0000000;  0.6505503578;  0.2183168212
478.3333333;  0.6487087180;  0.2225587125
481.6666667;  0.6495607960;  0.2268655797
485.0000000;  0.6485053211;  0.2312251681
488.3333333;  0.6598553508;  0.2357222409
491.6666667;  0.6707397767;  0.2403561127
495.0000000;  0.6711026170;  0.2450555701
498.3333333;  0.6826854979;  0.2499007391
501.6666667;  0.6883685130;  0.2548518179
505.0000000;  0.6997369657;  0.2599517677
508.3333333;  0.7150910726;  0.2652326544
511.6666667;  0.7209026795;  0.2706265083
515.0000000;  0.7264009118;  0.2761325451
518.3333333;  0.7378360860;  0.2817978908
521.6666667;  0.7552935042;  0.2876721101
525.0000000;  0.7712513740;  0.2937473407
528.3333333;  0.7900255178;  0.3000497316
531.6666667;  0.8150275575;  0.3066338759
535.0000000;  0.8312633899;  0.3134336483
538.3333333;  0.8541532837;  0.3205079976
541.6666667;  0.8860080793;  0.3279373340
545.0000000;  0.9035681930;  0.3356074521
548.3333333;  0.9212764093;  0.3435238449
551.6666667;  0.9337212008;  0.3516450183
555.0000000;  0.9454495355;  0.3599678742
558.3333333;  0.9664552797;  0.3685781472
561.6666667;  0.9791424634;  0.3774059213
565.0000000;  0.9968045620;  0.3864999208
568.3333333;  1.008342184;  0.3958080455
571.6666667;  1.012343815;  0.4052630504
575.0000000;  1.000902052;  0.4147205262
578.3333333;  0.9956058307;  0.4242373458
581.6666667;  0.9908459738;  0.4338181606
585.0000000;  0.9845383195;  0.4434474066
588.3333333;  0.9811238665;  0.4531529234
591.6666667;  0.9654011742;  0.4628114289
595.0000000;  0.9472466420;  0.4723953868
598.3333333;  0.9337455504;  0.4819488936
601.6666667;  0.9194308507;  0.4914610469
605.0000000;  0.8986981115;  0.5008620118
608.3333333;  0.8924087300;  0.5103003357
611.6666667;  0.8775791312;  0.5196838116
615.0000000;  0.8587183581;  0.5289659662
618.3333333;  0.8460362952;  0.5382104383
621.6666667;  0.8400441581;  0.5474886670
625.0000000;  0.8184383787;  0.5566254604
628.3333333;  0.8177494726;  0.5658521996
631.6666667;  0.8115266111;  0.5751061346
635.0000000;  0.7999538998;  0.5843246325
638.3333333;  0.7943156878;  0.5935745089
641.6666667;  0.7932135164;  0.6029082724
645.0000000;  0.7971439471;  0.6123859930
648.3333333;  0.7909792558;  0.6218878723
651.6666667;  0.7859569617;  0.6314267543
655.0000000;  0.7853755018;  0.6410563409
658.3333333;  0.7872411355;  0.6508072958
661.6666667;  0.7970554887;  0.6607800415
665.0000000;  0.7927605086;  0.6707992395
668.3333333;  0.7866660981;  0.6808413347
671.6666667;  0.7931365450;  0.6910672737
675.0000000;  0.7948361380;  0.7014170934
678.3333333;  0.7951219169;  0.7118731439
681.6666667;  0.7924380812;  0.7223965680
685.0000000;  0.7995096712;  0.7331179920
688.3333333;  0.8068795659;  0.7440438090
691.6666667;  0.8140098565;  0.7551731885
695.0000000;  0.8208657155;  0.7665047383
698.3333333;  0.8211667056;  0.7779494395
701.6666667;  0.8242387245;  0.7895468832
705.0000000;  0.8304686859;  0.8013432715
708.3333333;  0.8406590357;  0.8133975938
711.6666667;  0.8376367330;  0.8255218893
715.0000000;  0.8428664519;  0.8378364349
718.3333333;  0.8380015752;  0.8501943272
721.6666667;  0.8553453239;  0.8629253209
725.0000000;  0.8688033894;  0.8759763584
728.3333333;  0.8667904654;  0.8891171646
731.6666667;  0.8709674218;  0.9024424327
735.0000000;  0.8752391387;  0.9159553434
738.3333333;  0.8710984381;  0.9295265880
741.6666667;  0.8747327653;  0.9432777817
745.0000000;  0.8855624253;  0.9573246401
748.3333333;  0.8951853351;  0.9716514868
751.6666667;  0.8914143925;  0.9860453606
755.0000000;  0.8991951857;  1.000693934
758.3333333;  0.9084921425;  1.015624935
761.6666667;  0.9092031091;  1.030699273
765.0000000;  0.9185672584;  1.046062459
768.3333333;  0.9286131334;  1.061729306
771.6666667;  0.9258001562;  1.077484515
775.0000000;  0.9285790282;  1.093423831
778.3333333;  0.9387253196;  1.109676220
781.6666667;  0.9348884912;  1.126001116
785.0000000;  0.9385973511;  1.142530857
788.3333333;  0.9383516485;  1.159196911
791.6666667;  0.9508314046;  1.176227734
795.0000000;  0.9506571683;  1.193399129
798.3333333;  0.9534307088;  1.210765339
801.6666667;  0.9525309018;  1.228260345
805.0000000;  0.9508367197;  1.245869766
808.3333333;  0.9597162504;  1.263791136
811.6666667;  0.9619025497;  1.281901779
815.0000000;  0.9649066473;  1.300218506
818.3333333;  0.9625752747;  1.318640750
821.6666667;  0.9672044194;  1.337302697
825.0000000;  0.9723487121;  1.356216432
828.3333333;  0.9737228191;  1.375310258
831.6666667;  0.9657768422;  1.394400996
835.0000000;  0.9752392659;  1.413833620
