# [C1r_Br1o] Distance / pm; [C1r_H1r]-[C1r_Br1o] Angle / Degree; Occurrence
325.0000000;  2.700000000;  0.000000000
335.0000000;  2.700000000;  0.000000000
345.0000000;  2.700000000;  8.423029862
355.0000000;  2.700000000;  156.9187524
365.0000000;  2.700000000;  565.7795907
375.0000000;  2.700000000;  1121.274853
385.0000000;  2.700000000;  1470.042813
395.0000000;  2.700000000;  1507.984469
405.0000000;  2.700000000;  1203.856698
415.0000000;  2.700000000;  933.4537084
425.0000000;  2.700000000;  708.2005763
435.0000000;  2.700000000;  545.9701118
445.0000000;  2.700000000;  412.8530314
455.0000000;  2.700000000;  341.2017291
465.0000000;  2.700000000;  273.0621595
475.0000000;  2.700000000;  255.1732673
485.0000000;  2.700000000;  186.4052389
495.0000000;  2.700000000;  176.8868277
505.0000000;  2.700000000;  132.5608689
515.0000000;  2.700000000;  117.5613680
525.0000000;  2.700000000;  95.90583678
535.0000000;  2.700000000;  124.5255125
545.0000000;  2.700000000;  96.88378398
555.0000000;  2.700000000;  87.14529333
565.0000000;  2.700000000;  86.71361119
575.0000000;  2.700000000;  76.30042438
585.0000000;  2.700000000;  81.75239425
595.0000000;  2.700000000;  87.96011886
605.0000000;  2.700000000;  96.27271119
615.0000000;  2.700000000;  91.35122910
625.0000000;  2.700000000;  90.76281034
635.0000000;  2.700000000;  93.83396225
645.0000000;  2.700000000;  91.32264175
655.0000000;  2.700000000;  93.83278250
665.0000000;  2.700000000;  96.81165094
675.0000000;  2.700000000;  87.40735613
685.0000000;  2.700000000;  100.8154836
695.0000000;  2.700000000;  107.3767437
705.0000000;  2.700000000;  88.82724796
715.0000000;  2.700000000;  98.17960506
725.0000000;  2.700000000;  118.8536635
735.0000000;  2.700000000;  113.8258028
745.0000000;  2.700000000;  104.7424772
755.0000000;  2.700000000;  100.3205537
765.0000000;  2.700000000;  102.5678751
775.0000000;  2.700000000;  99.83749048
785.0000000;  2.700000000;  105.3776619
795.0000000;  2.700000000;  106.1733081
805.0000000;  2.700000000;  103.1453062
815.0000000;  2.700000000;  97.31021732
