# Angle (degree);  Occurrence
0.9000000000;  108.7559627
2.700000000;  100.0925836
4.500000000;  100.0076601
6.300000000;  100.0823780
8.100000000;  99.93967787
9.900000000;  99.97640254
11.70000000;  100.1041973
13.50000000;  100.1164051
15.30000000;  99.93115986
17.10000000;  99.96280142
18.90000000;  100.0389609
20.70000000;  100.0733802
22.50000000;  99.91617185
24.30000000;  99.96342049
26.10000000;  99.96349141
27.90000000;  100.0095222
29.70000000;  99.99175626
31.50000000;  100.0087732
33.30000000;  99.96248021
35.10000000;  99.86696465
36.90000000;  99.88527401
38.70000000;  99.94218205
40.50000000;  100.0118114
42.30000000;  99.95717840
44.10000000;  99.95135462
45.90000000;  99.96076717
47.70000000;  99.91759714
49.50000000;  99.88180758
51.30000000;  99.96419666
53.10000000;  99.96060865
54.90000000;  99.95404598
56.70000000;  99.92674698
58.50000000;  99.88241151
60.30000000;  99.91591251
62.10000000;  99.91490463
63.90000000;  99.88962138
65.70000000;  99.89657064
67.50000000;  99.83606238
69.30000000;  99.84964559
71.10000000;  99.80903266
72.90000000;  99.82959061
74.70000000;  99.84693869
76.50000000;  99.87661138
78.30000000;  99.77839560
80.10000000;  99.76351883
81.90000000;  99.80995042
83.70000000;  99.77463725
85.50000000;  99.78662010
87.30000000;  99.79561765
89.10000000;  99.82313686
90.90000000;  99.76178683
92.70000000;  99.71536549
94.50000000;  99.71708459
96.30000000;  99.75950495
98.10000000;  99.73590107
99.90000000;  99.72297298
101.7000000;  99.71587524
103.5000000;  99.71818552
105.3000000;  99.77462783
107.1000000;  99.76659413
108.9000000;  99.75920345
110.7000000;  99.70694156
112.5000000;  99.77905845
114.3000000;  99.68556948
116.1000000;  99.71604384
117.9000000;  99.71348567
119.7000000;  99.73259010
121.5000000;  99.77625099
123.3000000;  99.72615430
125.1000000;  99.70569509
126.9000000;  99.71865702
128.7000000;  99.74700880
130.5000000;  99.74131390
132.3000000;  99.72373053
134.1000000;  99.75918880
135.9000000;  99.71325240
137.7000000;  99.68617105
139.5000000;  99.69826169
141.3000000;  99.70896019
143.1000000;  99.73420472
144.9000000;  99.68959878
146.7000000;  99.73741923
148.5000000;  99.74693898
150.3000000;  99.68712181
152.1000000;  99.75652882
153.9000000;  99.74252191
155.7000000;  99.73429716
157.5000000;  99.74801726
159.3000000;  99.71404189
161.1000000;  99.69205875
162.9000000;  99.63904821
164.7000000;  99.70325687
166.5000000;  99.68849285
168.3000000;  99.69655803
170.1000000;  99.70204061
171.9000000;  99.73945322
173.7000000;  99.72703476
175.5000000;  99.83585381
177.3000000;  99.95317330
179.1000000;  107.9900037
