# from https://doi.org/10.1021/acs.iecr.0c01893
# T/K	x1	P/MPa
303.15	0.0329	0.0412
303.15	0.0786	0.0878
303.15	0.1952	0.1974
303.15	0.3045	0.3016
303.15	0.4318	0.4190
303.15	0.4995	0.5060
313.15	0.0269	0.0432
313.15	0.0810	0.0996
313.15	0.1855	0.2176
313.15	0.2761	0.3288
313.15	0.3793	0.4536
313.15	0.4455	0.5382
313.15	0.4833	0.5854
323.15	0.0136	0.0444
323.15	0.0520	0.1034
323.15	0.1176	0.1860
323.15	0.2135	0.3120
323.15	0.3149	0.4680
323.15	0.3832	0.5730
323.15	0.4440	0.6616
