# from https://doi.org/10.1021/acs.iecr.0c01893
# T/K	x1	P/MPa
303.15	0.0324	0.0430
303.15	0.0716	0.0840
303.15	0.1358	0.1520
303.15	0.2206	0.2512
303.15	0.3004	0.3538
303.15	0.3572	0.4437
303.15	0.4207	0.5483
303.15	0.4718	0.6388
303.15	0.5248	0.7438
313.15	0.0143	0.0488
313.15	0.0636	0.0966
313.15	0.1399	0.1920
313.15	0.2184	0.2982
313.15	0.2868	0.4024
313.15	0.3426	0.4956
313.15	0.3927	0.5898
313.15	0.4396	0.6878
313.15	0.4952	0.8130
313.15	0.5358	0.9128
323.15	0.0357	0.0520
323.15	0.1074	0.1561
323.15	0.1512	0.2250
323.15	0.2203	0.3447
323.15	0.2635	0.4270
323.15	0.3191	0.5400
323.15	0.3800	0.6736
323.15	0.4212	0.7772
323.15	0.4690	0.8994
323.15	0.5141	1.0350
