# from https://doi.org/10.1021/acs.iecr.0c01893
# T/K	x1	P/MPa
303.15	0.0833	0.0532
303.15	0.1205	0.0928
303.15	0.2184	0.2120
303.15	0.2889	0.3172
303.15	0.3431	0.4162
303.15	0.4006	0.5242
303.15	0.4523	0.6280
303.15	0.5069	0.7374
303.15	0.5482	0.8290
303.15	0.5937	0.9338
313.15	0.0538	0.0528
313.15	0.1009	0.1106
313.15	0.1658	0.2016
313.15	0.2359	0.3202
313.15	0.2940	0.4256
313.15	0.3513	0.5420
313.15	0.4039	0.6512
313.15	0.4755	0.8134
313.15	0.5276	0.9480
323.15	0.0383	0.0504
323.15	0.0759	0.1132
323.15	0.1421	0.2268
323.15	0.2112	0.3408
323.15	0.2554	0.4390
323.15	0.3231	0.5842
323.15	0.3979	0.7502
323.15	0.4531	0.8812
323.15	0.5102	1.0420
