# from https://doi.org/10.1021/acs.iecr.0c01893
# T/K	x1	P/MPa
303.15	0.0353	0.0444
303.15	0.0863	0.1022
303.15	0.1785	0.2210
303.15	0.2989	0.4000
303.15	0.3962	0.5830
303.15	0.4860	0.7690
303.15	0.6176	1.0540
313.15	0.0292	0.0510
313.15	0.0826	0.1240
313.15	0.1848	0.2826
313.15	0.2895	0.4720
313.15	0.3729	0.6622
313.15	0.4602	0.8600
313.15	0.5128	0.9882
323.15	0.0129	0.0520
323.15	0.0545	0.1199
323.15	0.1363	0.2708
323.15	0.2015	0.4000
323.15	0.2949	0.6228
323.15	0.3933	0.8408
323.15	0.4465	0.9848
