# from https://doi.org/10.1021/acs.iecr.0c01893
# T/K	x1	P/MPa
303.15	0.0399	0.0400
303.15	0.0924	0.0884
303.15	0.2143	0.2012
303.15	0.3078	0.3000
303.15	0.4155	0.4042
303.15	0.5093	0.4956
313.15	0.0493	0.0540
313.15	0.0969	0.1016
313.15	0.2011	0.2100
313.15	0.2989	0.3182
313.15	0.3783	0.4132
313.15	0.4586	0.5102
323.15	0.0368	0.0470
323.15	0.0977	0.1158
323.15	0.1962	0.2300
323.15	0.3216	0.3950
323.15	0.4063	0.5218
