# from https://doi.org/10.1021/acs.iecr.0c01893
# T/K	x1	P/MPa
303.15	0.0353	0.0448
303.15	0.0792	0.1080
303.15	0.1370	0.2052
303.15	0.1977	0.3116
303.15	0.2691	0.4408
303.15	0.3338	0.5676
303.15	0.3947	0.6972
303.15	0.4655	0.8474
303.15	0.5261	0.9836
313.15	0.0272	0.0478
313.15	0.0650	0.1046
313.15	0.1196	0.2012
313.15	0.1908	0.3338
313.15	0.2616	0.4790
313.15	0.3143	0.6094
313.15	0.3749	0.7522
313.15	0.4157	0.8660
313.15	0.4631	0.9884
323.15	0.0225	0.0420
323.15	0.0504	0.1002
323.15	0.1215	0.2322
323.15	0.1641	0.3396
323.15	0.2336	0.5164
323.15	0.2956	0.6692
323.15	0.3411	0.8010
323.15	0.4177	1.0426
