# from https://doi.org/10.1021/acs.iecr.0c01893
# T/K	x1	P/MPa
303.15	0.0546	0.0320
303.15	0.1107	0.0840
303.15	0.2067	0.1838
303.15	0.2514	0.2264
303.15	0.3066	0.2958
303.15	0.4014	0.4116
303.15	0.4803	0.5036
303.15	0.5524	0.5782
313.15	0.0433	0.0398
313.15	0.1308	0.1304
313.15	0.1903	0.2000
313.15	0.2718	0.2984
313.15	0.3378	0.3788
313.15	0.4153	0.4780
313.15	0.4933	0.5788
323.15	0.0275	0.0452
323.15	0.0701	0.1020
323.15	0.1438	0.1972
323.15	0.2204	0.3008
323.15	0.2953	0.4074
323.15	0.3768	0.5324
323.15	0.4107	0.5868
