# from https://doi.org/10.1021/acs.iecr.0c01893
# T/K	x1	P/MPa
303.15	0.0525	0.0430
303.15	0.0964	0.0892
303.15	0.1813	0.1860
303.15	0.2640	0.2886
303.15	0.3370	0.3894
303.15	0.4051	0.4942
303.15	0.4677	0.5994
303.15	0.5184	0.6932
313.15	0.0497	0.0440
313.15	0.0891	0.0898
313.15	0.1662	0.1772
313.15	0.2338	0.2676
313.15	0.3066	0.3774
313.15	0.3607	0.4736
313.15	0.4264	0.5960
313.15	0.4740	0.6992
313.15	0.5235	0.8172
313.15	0.5679	0.9316
323.15	0.0458	0.0456
323.15	0.0845	0.0930
323.15	0.1502	0.1844
323.15	0.2362	0.3114
323.15	0.2893	0.4074
323.15	0.3525	0.5312
323.15	0.4066	0.6558
323.15	0.4520	0.7602
323.15	0.4898	0.8596
323.15	0.5228	0.9478
323.15	0.5542	1.0422
