# from https://doi.org/10.1021/acs.iecr.0c01893
# T/K	x1	P/MPa
303.15	0.0198	0.0424
303.15	0.0650	0.0974
303.15	0.1656	0.2418
303.15	0.2338	0.3528
303.15	0.3177	0.4858
303.15	0.3883	0.6120
303.15	0.4649	0.7590
303.15	0.5712	0.9730
313.15	0.0127	0.0450
313.15	0.0578	0.1048
313.15	0.1183	0.2108
313.15	0.1869	0.3260
313.15	0.2513	0.4466
313.15	0.3068	0.5594
313.15	0.3631	0.6794
313.15	0.4554	0.8914
323.15	0.0062	0.0426
323.15	0.0217	0.0806
323.15	0.0722	0.1782
323.15	0.1332	0.2804
323.15	0.2102	0.4394
323.15	0.2751	0.6006
323.15	0.3524	0.7584
323.15	0.4008	0.8744





