# from https://doi.org/10.1021/acs.iecr.0c01893
# T/K	x1	P/MPa
303.15	0.0355	0.0421
303.15	0.1332	0.0938
303.15	0.2417	0.1584
303.15	0.3495	0.2360
303.15	0.4500	0.3333
303.15	0.5121	0.4005
303.15	0.5757	0.4733
303.15	0.6223	0.5648
313.15	0.0279	0.0430
313.15	0.0929	0.0916
313.15	0.1774	0.1648
313.15	0.2900	0.2700
313.15	0.4043	0.3850
313.15	0.4965	0.4860
313.15	0.5563	0.5586
313.15	0.5889	0.5994
323.15	0.0224	0.0424
323.15	0.0769	0.0940
323.15	0.1562	0.1828
323.15	0.2441	0.2794
323.15	0.3371	0.3848
323.15	0.4067	0.4722
323.15	0.4815	0.5752
323.15	0.5613	0.6978
323.15	0.6217	0.7778
