# from https://doi.org/10.1021/acs.iecr.0c01893
# T/K	x1	P/MPa
303.15	0.0133	0.0380
303.15	0.1015	0.1602
303.15	0.1739	0.2804
303.15	0.2709	0.4372
303.15	0.3451	0.5838
303.15	0.4033	0.7024
303.15	0.4895	0.8680
303.15	0.5698	1.0258
313.15	0.0142	0.0454
313.15	0.0506	0.1094
313.15	0.1040	0.1986
313.15	0.1677	0.3092
313.15	0.2290	0.4344
313.15	0.2926	0.5656
313.15	0.3557	0.7068
313.15	0.4229	0.8646
313.15	0.4707	0.9856
323.15	0.0148	0.0570
323.15	0.0518	0.1190
323.15	0.1085	0.2210
323.15	0.1488	0.3186
323.15	0.2001	0.4262
323.15	0.2380	0.5256
323.15	0.2809	0.6294
323.15	0.3190	0.7286
323.15	0.3574	0.8308
323.15	0.4097	0.9784
