# from https://doi.org/10.1021/acs.iecr.0c01893
# T/K	x1	P/MPa
303.15	0.0314	0.0448
303.15	0.0724	0.0970
303.15	0.1472	0.2108
303.15	0.2242	0.3338
303.15	0.2945	0.4596
303.15	0.3664	0.6030
303.15	0.4423	0.7470
303.15	0.5253	0.9236
313.15	0.0244	0.0454
313.15	0.0593	0.1032
313.15	0.1169	0.2058
313.15	0.1893	0.3340
313.15	0.2539	0.4610
313.15	0.3205	0.6004
313.15	0.3819	0.7370
313.15	0.4327	0.8616
313.15	0.4836	0.9854
323.15	0.0183	0.0514
323.15	0.0462	0.0998
323.15	0.0905	0.2000
323.15	0.1499	0.3226
323.15	0.2134	0.4392
323.15	0.2737	0.5856
323.15	0.3079	0.6766
323.15	0.3492	0.7834
323.15	0.3807	0.8836
323.15	0.4305	1.0242
