# from https://doi.org/10.1021/acs.iecr.0c01893
# T/K	x1	P/MPa
303.15	0.0552	0.0646
303.15	0.1503	0.1724
303.15	0.2394	0.2865
303.15	0.3514	0.4618
303.15	0.4436	0.6334
303.15	0.5435	0.8268
303.15	0.5994	0.9592
313.15	0.0241	0.0484
313.15	0.0645	0.1008
313.15	0.1886	0.2555
313.15	0.2698	0.3774
313.15	0.3794	0.5890
313.15	0.4628	0.7662
313.15	0.5564	1.0080
323.15	0.0150	0.0460
323.15	0.0527	0.1012
323.15	0.1155	0.2234
323.15	0.2130	0.3976
323.15	0.3015	0.5744
323.15	0.3858	0.7642
323.15	0.4853	1.0140
